order_id,date,item_name,item_type,item_price,quantity,transaction_amount,transaction_type,received_by,time_of_sale,Item,Supplier,Order made On,Order received On,Lead Time,Quantity,Cost/unit,Review,Liked
138,01/09/2022,Sandwich,Fastfood,60,15,900,Online,Mr.,Night,Potatoes,Aluwahlia & Sons,10/27/2012,11/05/2012,9,34239,32,This is one of the best bars with food in Vegas.,1
139,02/26/2023,Frankie,Fastfood,50,11,550,Online,Mrs.,Night,Potatoes,Batata & Co.,11/09/2012,11/16/2012,7,44163,30,"He was extremely rude and really, there are so many other restaurants I would love to dine at during a weekend in Vegas.",0
140,12/06/2022,Frankie,Fastfood,50,13,650,Cash,Mr.,Night,Potatoes,Batata Batata Men,11/06/2012,11/12/2012,6,13660,31,My drink was never empty and he made some really great menu suggestions.,1
141,06/15/2022,Aalopuri,Fastfood,20,4,80,Cash,Mr.,Evening,Potatoes,Aluwahlia & Sons,11/03/2012,11/11/2012,8,35268,29,Don't do it!!!!,0
142,12/30/2022,Sugarcane juice,Beverages,25,12,300,Cash,Mrs.,Morning,Potatoes,Batata & Co.,11/16/2012,11/21/2012,5,37634,29,The waiter wasn't helpful or friendly and rarely checked on us.,0
143,09/18/2022,Frankie,Fastfood,50,8,400,Cash,Mrs.,Afternoon,Potatoes,Batata Batata Men,11/13/2012,11/19/2012,6,24229,31,My husband and I ate lunch here and were very disappointed with the food and service.,0
144,11/17/2022,Panipuri,Fastfood,20,10,200,Cash,Mrs.,Evening,Potatoes,Aluwahlia & Sons,11/10/2012,11/19/2012,9,34130,30,And the red curry had so much bamboo shoots and wasn't very tasty to me.,0
145,09/10/2022,Sandwich,Fastfood,60,14,840,Online,Mr.,Morning,Potatoes,Batata & Co.,11/23/2012,11/29/2012,6,46964,29,Nice blanket of moz over top but i feel like this was done to cover up the subpar food.,1
146,10/28/2022,Frankie,Fastfood,50,4,200,Cash,Mrs.,Afternoon,Potatoes,Batata Batata Men,11/20/2012,11/27/2012,7,18530,31,The bathrooms are clean and the place itself is well decorated.,1
147,05/17/2022,Panipuri,Fastfood,20,7,140,Online,Mr.,Evening,Potatoes,Aluwahlia & Sons,11/17/2012,11/24/2012,7,29627,30,"The menu is always changing, food quality is going down & service is extremely slow.",0
148,03/19/2023,Sandwich,Fastfood,60,13,780,Online,Mr.,Evening,Potatoes,Batata & Co.,11/30/2012,12/06/2012,6,17747,30,"The service was a little slow , considering that were served by 3 people servers so the food was coming in a slow pace.",0
149,09/08/2022,Sandwich,Fastfood,60,7,420,Online,Mr.,Morning,Potatoes,Batata Batata Men,11/27/2012,12/04/2012,7,16177,29,I give it 2 thumbs down,0
150,01/30/2023,Cold coffee,Beverages,40,14,560,Cash,Mr.,Afternoon,Potatoes,Aluwahlia & Sons,11/24/2012,12/02/2012,8,11353,32,We watched our waiter pay a lot more attention to other tables and ignore us.,0
151,10/07/2022,Frankie,Fastfood,50,13,650,Online,Mrs.,Morning,Potatoes,Batata & Co.,12/07/2012,12/13/2012,6,46626,30,My fianc̩ and I came in the middle of the day and we were greeted and seated right away.,1
152,10/24/2022,Cold coffee,Beverages,40,9,360,Online,Mr.,Afternoon,Potatoes,Batata Batata Men,12/04/2012,12/12/2012,8,53325,29,This is a great restaurant at the Mandalay Bay.,1
153,07/21/2022,Panipuri,Fastfood,20,1,20,Cash,Mrs.,Evening,Potatoes,Aluwahlia & Sons,12/01/2012,12/10/2012,9,11910,29,We waited for forty five minutes in vain.,0
154,12/13/2022,Vadapav,Fastfood,20,3,60,Cash,Mr.,Night,Potatoes,Batata & Co.,12/14/2012,12/21/2012,7,28764,32,Crostini that came with the salad was stale.,0
155,07/02/2023,Sugarcane juice,Beverages,25,10,250,Cash,Mrs.,Evening,Potatoes,Batata Batata Men,12/11/2012,12/18/2012,7,14617,31,Some highlights : Great quality nigiri here!,1
156,03/25/2023,Panipuri,Fastfood,20,14,280,Cash,Mr.,Midnight,Potatoes,Aluwahlia & Sons,12/08/2012,12/15/2012,7,49072,32,the staff is friendly and the joint is always clean.,1
157,02/24/2023,Frankie,Fastfood,50,7,350,Online,Mrs.,Midnight,Potatoes,Batata & Co.,12/21/2012,12/26/2012,5,32269,28,this was a different cut than the piece the other day but still wonderful and tender s well as well flavored.,1
158,05/16/2022,Aalopuri,Fastfood,20,2,40,Cash,Mr.,Midnight,Potatoes,Batata Batata Men,12/18/2012,12/26/2012,8,24589,30,I ordered the Voodoo pasta and it was the first time I'd had really excellent pasta since going gluten free several years ago.,1
159,03/10/2022,Sugarcane juice,Beverages,25,1,25,Online,Mrs.,Afternoon,Potatoes,Aluwahlia & Sons,12/15/2012,12/23/2012,8,40425,29,this place is good.,1
160,07/23/2022,Vadapav,Fastfood,20,10,200,Online,Mr.,Night,Potatoes,Batata & Co.,12/28/2012,01/03/2013,6,22879,29,"Unfortunately, we must have hit the bakery on leftover day because everything we ordered was STALE.",0
161,01/19/2023,Sugarcane juice,Beverages,25,12,300,Cash,Mr.,Evening,Potatoes,Batata Batata Men,12/25/2012,01/02/2013,8,52271,28,I came back today since they relocated and still not impressed.,0
162,07/05/2022,Aalopuri,Fastfood,20,11,220,Cash,Mr.,Midnight,Potatoes,Aluwahlia & Sons,12/22/2012,12/29/2012,7,34595,29,I was seated immediately.,1
163,06/01/2023,Frankie,Fastfood,50,6,300,Online,Mrs.,Midnight,Potatoes,Batata & Co.,01/04/2013,01/11/2013,7,28809,32,"Their menu is diverse, and reasonably priced.",1
164,10/08/2022,Sugarcane juice,Beverages,25,7,175,Online,Mr.,Afternoon,Potatoes,Batata Batata Men,01/01/2013,01/08/2013,7,18366,29,Avoid at all cost!,0
165,05/01/2023,Sandwich,Fastfood,60,11,660,Cash,Mr.,Midnight,Potatoes,Aluwahlia & Sons,12/29/2012,01/07/2013,9,70782,31,Restaurant is always full but never a wait.,1
166,01/06/2022,Panipuri,Fastfood,20,6,120,Cash,Mrs.,Evening,Potatoes,Batata & Co.,01/11/2013,01/18/2013,7,41283,28,DELICIOUS!!,1
167,02/23/2023,Cold coffee,Beverages,40,6,240,Cash,Mrs.,Morning,Potatoes,Batata Batata Men,01/08/2013,01/16/2013,8,22930,29,This place is hands-down one of the best places to eat in the Phoenix metro area.,1
168,04/19/2022,Sandwich,Fastfood,60,4,240,Cash,Mrs.,Midnight,Potatoes,Aluwahlia & Sons,01/05/2013,01/14/2013,9,75548,32,So don't go there if you are looking for good food...,0
169,06/20/2022,Vadapav,Fastfood,20,6,120,Cash,Mr.,Morning,Potatoes,Batata & Co.,01/18/2013,01/25/2013,7,14061,31,I've never been treated so bad.,0
170,02/13/2023,Aalopuri,Fastfood,20,6,120,Cash,Mrs.,Afternoon,Potatoes,Batata Batata Men,01/15/2013,01/21/2013,6,35180,30,Bacon is hella salty.,1
171,02/03/2023,Vadapav,Fastfood,20,11,220,Cash,Mrs.,Midnight,Potatoes,Aluwahlia & Sons,01/12/2013,01/20/2013,8,42725,32,"We also ordered the spinach and avocado salad, the ingredients were sad and the dressing literally had zero taste.",0
172,08/27/2022,Sugarcane juice,Beverages,25,6,150,Online,Mrs.,Night,Potatoes,Batata & Co.,01/25/2013,02/01/2013,7,21659,30,"This really is how Vegas fine dining used to be, right down to the menus handed to the ladies that have no prices listed.",1
173,01/20/2023,Cold coffee,Beverages,40,2,80,Online,Mr.,Night,Potatoes,Batata Batata Men,01/22/2013,01/29/2013,7,25464,31,The waitresses are very friendly.,1
174,03/09/2022,Aalopuri,Fastfood,20,2,40,Online,Mr.,Evening,Potatoes,Aluwahlia & Sons,01/19/2013,01/26/2013,7,69025,28,"Lordy, the Khao Soi is a dish that is not to be missed for curry lovers!",1
175,10/17/2022,Frankie,Fastfood,50,12,600,Cash,Mrs.,Afternoon,Potatoes,Batata & Co.,02/01/2013,02/06/2013,5,26128,29,Everything on the menu is terrific and we were also thrilled that they made amazing accommodations for our vegetarian daughter.,1
176,04/08/2022,Panipuri,Fastfood,20,1,20,Cash,Mrs.,Midnight,Potatoes,Batata Batata Men,01/29/2013,02/04/2013,6,48530,30,"Perhaps I caught them on an off night judging by the other reviews, but I'm not inspired to go back.",0
177,07/21/2022,Panipuri,Fastfood,20,11,220,Online,Mrs.,Morning,Potatoes,Aluwahlia & Sons,01/26/2013,02/02/2013,7,27437,30,The service here leaves a lot to be desired.,0
178,09/12/2022,Aalopuri,Fastfood,20,2,40,Cash,Mrs.,Morning,Potatoes,Batata & Co.,02/08/2013,02/13/2013,5,43169,28,"The atmosphere is modern and hip, while maintaining a touch of coziness.",1
179,03/03/2023,Sugarcane juice,Beverages,25,5,125,Cash,Mrs.,Midnight,Potatoes,Batata Batata Men,02/05/2013,02/12/2013,7,43202,31,"Not a weekly haunt, but definitely a place to come back to every once in a while.",1
180,01/12/2022,Vadapav,Fastfood,20,6,120,Online,Mrs.,Afternoon,Potatoes,Aluwahlia & Sons,02/02/2013,02/11/2013,9,12944,31,We literally sat there for 20 minutes with no one asking to take our order.,0
181,09/06/2022,Cold coffee,Beverages,40,7,280,Cash,Mrs.,Night,Potatoes,Batata & Co.,02/15/2013,02/21/2013,6,43510,29,"The burger had absolutely no flavor - the meat itself was totally bland, the burger was overcooked and there was no charcoal flavor.",0
182,02/07/2022,Cold coffee,Beverages,40,1,40,Cash,Mr.,Midnight,Potatoes,Batata Batata Men,02/12/2013,02/20/2013,8,33156,31,I also decided not to send it back because our waitress looked like she was on the verge of having a heart attack.,0
183,10/07/2022,Sugarcane juice,Beverages,25,5,125,Cash,Mrs.,Midnight,Potatoes,Aluwahlia & Sons,02/09/2013,02/18/2013,9,21199,30,I dressed up to be treated so rudely!,0
184,03/01/2023,Cold coffee,Beverages,40,8,320,Cash,Mr.,Night,Potatoes,Batata & Co.,02/22/2013,03/01/2013,7,29900,32,It was probably dirt.,0
185,01/13/2023,Sugarcane juice,Beverages,25,15,375,Cash,Mr.,Night,Potatoes,Batata Batata Men,02/19/2013,02/25/2013,6,19978,31,"Love this place, hits the spot when I want something healthy but not lacking in quantity or flavor.",1
186,03/15/2023,Frankie,Fastfood,50,2,100,Online,Mr.,Afternoon,Potatoes,Aluwahlia & Sons,02/16/2013,02/25/2013,9,46465,31,I ordered the Lemon raspberry ice cocktail which was also incredible.,1
187,11/10/2022,Aalopuri,Fastfood,20,15,300,Cash,Mrs.,Morning,Potatoes,Batata & Co.,03/01/2013,03/07/2013,6,22586,32,"The food sucked, which we expected but it sucked more than we could have imagined.",0
188,12/28/2022,Panipuri,Fastfood,20,14,280,Cash,Mrs.,Night,Potatoes,Batata Batata Men,02/26/2013,03/04/2013,6,53915,32,Interesting decor.,1
189,08/02/2023,Vadapav,Fastfood,20,12,240,Online,Mr.,Afternoon,Potatoes,Aluwahlia & Sons,02/23/2013,03/04/2013,9,36277,31,What I really like there is the crepe station.,1
190,04/26/2022,Cold coffee,Beverages,40,1,40,Online,Mr.,Evening,Potatoes,Batata & Co.,03/08/2013,03/15/2013,7,12807,29,"Also were served hot bread and butter, and home made potato chips with bacon bits on top....very original and very good.",1
191,05/20/2022,Sugarcane juice,Beverages,25,14,350,Cash,Mrs.,Morning,Potatoes,Batata Batata Men,03/05/2013,03/13/2013,8,43101,32,you can watch them preparing the delicious food!),1
192,10/26/2022,Vadapav,Fastfood,20,2,40,Online,Mr.,Night,Potatoes,Aluwahlia & Sons,03/02/2013,03/11/2013,9,48493,28,Both of the egg rolls were fantastic.,1
193,05/02/2023,Cold coffee,Beverages,40,15,600,Online,Mrs.,Midnight,Potatoes,Batata & Co.,03/15/2013,03/22/2013,7,40979,28,"When my order arrived, one of the gyros was missing.",0
194,12/15/2022,Vadapav,Fastfood,20,4,80,Cash,Mrs.,Morning,Potatoes,Batata Batata Men,03/12/2013,03/19/2013,7,46853,28,"I had a salad with the wings, and some ice cream for dessert and left feeling quite satisfied.",1
195,04/23/2022,Sandwich,Fastfood,60,4,240,Cash,Mrs.,Night,Potatoes,Aluwahlia & Sons,03/09/2013,03/16/2013,7,20669,31,I'm not really sure how Joey's was voted best hot dog in the Valley by readers of Phoenix Magazine.,0
196,06/25/2022,Sandwich,Fastfood,60,3,180,Cash,Mr.,Evening,Potatoes,Batata & Co.,03/22/2013,03/27/2013,5,14751,28,The best place to go for a tasty bowl of Pho!,1
197,08/11/2022,Panipuri,Fastfood,20,10,200,Cash,Mrs.,Midnight,Potatoes,Batata Batata Men,03/19/2013,03/27/2013,8,33075,30,The live music on Fridays totally blows.,0
198,05/01/2023,Frankie,Fastfood,50,15,750,Cash,Mr.,Morning,Potatoes,Aluwahlia & Sons,03/16/2013,03/23/2013,7,52165,31,I've never been more insulted or felt disrespected.,0
199,01/02/2023,Frankie,Fastfood,50,6,300,Online,Mrs.,Morning,Potatoes,Batata & Co.,03/29/2013,04/03/2013,5,36060,31,Very friendly staff.,1
200,12/25/2022,Cold coffee,Beverages,40,10,400,Cash,Mrs.,Morning,Potatoes,Batata Batata Men,03/26/2013,04/03/2013,8,41939,31,It is worth the drive.,1
201,06/30/2022,Panipuri,Fastfood,20,8,160,Cash,Mr.,Morning,Potatoes,Aluwahlia & Sons,03/23/2013,03/31/2013,8,28573,31,"I had heard good things about this place, but it exceeding every hope I could have dreamed of.",1
202,09/21/2022,Aalopuri,Fastfood,20,9,180,Cash,Mr.,Afternoon,Potatoes,Batata & Co.,04/05/2013,04/10/2013,5,46570,30,Food was great and so was the serivce!,1
203,11/04/2022,Vadapav,Fastfood,20,6,120,Online,Mrs.,Midnight,Potatoes,Batata Batata Men,04/02/2013,04/08/2013,6,47138,32,The warm beer didn't help.,0
204,10/24/2022,Cold coffee,Beverages,40,7,280,Cash,Mrs.,Evening,Potatoes,Aluwahlia & Sons,03/30/2013,04/07/2013,8,16730,30,Great brunch spot.,1
205,10/17/2022,Vadapav,Fastfood,20,4,80,Cash,Mr.,Afternoon,Potatoes,Batata & Co.,04/12/2013,04/18/2013,6,20880,28,Service is friendly and inviting.,1
206,07/27/2022,Aalopuri,Fastfood,20,4,80,Cash,Mr.,Night,Potatoes,Batata Batata Men,04/09/2013,04/15/2013,6,21416,29,Very good lunch spot.,1
207,02/20/2023,Cold coffee,Beverages,40,8,320,Online,Mrs.,Evening,Potatoes,Aluwahlia & Sons,04/06/2013,04/14/2013,8,34553,28,I've lived here since 1979 and this was the first (and last) time I've stepped foot into this place.,0
208,08/26/2022,Cold coffee,Beverages,40,13,520,Cash,Mrs.,Midnight,Potatoes,Batata & Co.,04/19/2013,04/26/2013,7,47147,30,The WORST EXPERIENCE EVER.,0
209,04/12/2022,Aalopuri,Fastfood,20,2,40,Cash,Mr.,Night,Potatoes,Batata Batata Men,04/16/2013,04/24/2013,8,17680,30,Must have been an off night at this place.,0
210,02/01/2023,Sugarcane juice,Beverages,25,15,375,Cash,Mr.,Night,Potatoes,Aluwahlia & Sons,04/13/2013,04/20/2013,7,49063,30,"The sides are delish - mixed mushrooms, yukon gold puree, white corn - beateous.",1
211,04/18/2022,Aalopuri,Fastfood,20,12,240,Cash,Mr.,Morning,Potatoes,Batata & Co.,04/26/2013,05/02/2013,6,23686,29,"If that bug never showed up I would have given a 4 for sure, but on the other side of the wall where this bug was climbing was the kitchen.",0
212,05/05/2022,Cold coffee,Beverages,40,12,480,Online,Mrs.,Morning,Potatoes,Batata Batata Men,04/23/2013,04/29/2013,6,12466,28,"For about 10 minutes, we we're waiting for her salad when we realized that it wasn't coming any time soon.",0
213,09/29/2022,Vadapav,Fastfood,20,3,60,Cash,Mrs.,Midnight,Potatoes,Aluwahlia & Sons,04/20/2013,04/28/2013,8,67652,32,My friend loved the salmon tartar.,1
214,03/12/2022,Sugarcane juice,Beverages,25,14,350,Online,Mr.,Evening,Potatoes,Batata & Co.,05/03/2013,05/10/2013,7,37979,30,Won't go back.,0
215,10/12/2022,Sugarcane juice,Beverages,25,7,175,Cash,Mrs.,Morning,Potatoes,Batata Batata Men,04/30/2013,05/08/2013,8,15774,28,Extremely Tasty!,1
216,07/03/2023,Panipuri,Fastfood,20,9,180,Cash,Mrs.,Afternoon,Potatoes,Aluwahlia & Sons,04/27/2013,05/04/2013,7,40367,30,Waitress was good though!,1
217,03/23/2023,Cold coffee,Beverages,40,10,400,Cash,Mr.,Morning,Potatoes,Batata & Co.,05/10/2013,05/17/2013,7,22501,30,Soggy and not good.,0
218,12/23/2022,Cold coffee,Beverages,40,13,520,Online,Mrs.,Midnight,Potatoes,Batata Batata Men,05/07/2013,05/14/2013,7,38922,31,The Jamaican mojitos are delicious.,1
219,01/10/2022,Aalopuri,Fastfood,20,9,180,Cash,Mrs.,Evening,Potatoes,Aluwahlia & Sons,05/04/2013,05/11/2013,7,40498,30,Which are small and not worth the price.,0
220,05/13/2022,Sugarcane juice,Beverages,25,1,25,Cash,Mr.,Afternoon,Potatoes,Batata & Co.,05/17/2013,05/24/2013,7,51510,30,- the food is rich so order accordingly.,1
221,03/26/2023,Sandwich,Fastfood,60,1,60,Online,Mr.,Evening,Potatoes,Batata Batata Men,05/14/2013,05/20/2013,6,14999,31,"The shower area is outside so you can only rinse, not take a full shower, unless you don't mind being nude for everyone to see!",0
222,11/09/2022,Sandwich,Fastfood,60,6,360,Cash,Mrs.,Morning,Potatoes,Aluwahlia & Sons,05/11/2013,05/20/2013,9,45479,31,The service was a bit lacking.,0
223,09/21/2022,Panipuri,Fastfood,20,13,260,Online,Mr.,Night,Potatoes,Batata & Co.,05/24/2013,05/30/2013,6,31590,32,"Lobster Bisque, Bussell Sprouts, Risotto, Filet ALL needed salt and pepper..and of course there is none at the tables.",0
224,03/23/2023,Sugarcane juice,Beverages,25,14,350,Cash,Mr.,Afternoon,Potatoes,Batata Batata Men,05/21/2013,05/29/2013,8,30443,28,Hopefully this bodes for them going out of business and someone who can cook can come in.,0
225,03/16/2023,Frankie,Fastfood,50,11,550,Cash,Mrs.,Evening,Potatoes,Aluwahlia & Sons,05/18/2013,05/26/2013,8,34840,30,"It was either too cold, not enough flavor or just bad.",0
226,12/12/2022,Aalopuri,Fastfood,20,13,260,Online,Mrs.,Afternoon,Chillies,AirTeli,01/04/2013,01/01/2012,6,"1,20,000",8,I loved the bacon wrapped dates.,1
227,11/17/2022,Cold coffee,Beverages,40,5,200,Cash,Mrs.,Afternoon,Chillies,AirTeli,01/04/2013,01/01/2012,6,"1,20,000",8,This is an unbelievable BARGAIN!,1
228,05/11/2022,Panipuri,Fastfood,20,8,160,Online,Mr.,Night,Chillies,AirTeli,01/04/2013,01/01/2012,6,"1,20,000",8,The folks at Otto always make us feel so welcome and special.,1
229,12/15/2022,Panipuri,Fastfood,20,7,140,Cash,Mr.,Evening,Item,Supplier,01/04/2013,01/01/2012,Lead Time,Quantity,Cost/unit,"As for the ""mains,"" also uninspired.",0
230,04/16/2022,Frankie,Fastfood,50,6,300,Online,Mr.,Afternoon,Chillies,Munni Mirchi,12/26/2011,01/01/2012,6,50170,25,This is the place where I first had pho and it was amazing!!,1
231,04/16/2022,Sugarcane juice,Beverages,25,3,75,Cash,Mr.,Night,Chillies,Mirch Masala,12/29/2011,01/01/2012,3,90223,26,This wonderful experience made this place a must-stop whenever we are in town again.,1
232,04/23/2022,Vadapav,Fastfood,20,13,260,Cash,Mrs.,Night,Chillies,Chilly Chameli,12/23/2011,01/01/2012,9,56326,23,"If the food isn't bad enough for you, then enjoy dealing with the world's worst/annoying drunk people.",0
233,07/31/2022,Panipuri,Fastfood,20,5,100,Cash,Mr.,Morning,Chillies,Munni Mirchi,01/02/2012,01/07/2012,5,37662,27,Very very fun chef.,1
234,07/27/2022,Panipuri,Fastfood,20,10,200,Cash,Mr.,Midnight,Chillies,Mirch Masala,01/05/2012,01/10/2012,5,28001,25,"Ordered a double cheeseburger & got a single patty that was falling apart (picture uploaded) Yeah, still sucks.",0
235,11/29/2022,Sandwich,Fastfood,60,10,600,Cash,Mrs.,Afternoon,Chillies,Chilly Chameli,12/30/2011,01/11/2012,12,30065,25,Great place to have a couple drinks and watch any and all sporting events as the walls are covered with TV's.,1
236,06/26/2022,Vadapav,Fastfood,20,12,240,Cash,Mrs.,Evening,Chillies,Munni Mirchi,01/09/2012,01/16/2012,7,86794,26,"If it were possible to give them zero stars, they'd have it.",0
237,08/11/2022,Panipuri,Fastfood,20,13,260,Cash,Mrs.,Midnight,Chillies,Mirch Masala,01/12/2012,01/17/2012,5,51463,24,"The descriptions said ""yum yum sauce"" and another said ""eel sauce"", yet another said ""spicy mayo""...well NONE of the rolls had sauces on them.",0
238,04/26/2022,Vadapav,Fastfood,20,13,260,Cash,Mr.,Morning,Chillies,Chilly Chameli,01/06/2012,01/15/2012,9,84397,23,"I'd say that would be the hardest decision... Honestly, all of M's dishes taste how they are supposed to taste (amazing).",1
239,04/12/2022,Frankie,Fastfood,50,4,200,Online,Mr.,Evening,Chillies,Munni Mirchi,01/16/2012,01/21/2012,5,42148,27,If she had not rolled the eyes we may have stayed... Not sure if we will go back and try it again.,0
240,11/12/2022,Sandwich,Fastfood,60,10,600,Cash,Mrs.,Morning,Chillies,Mirch Masala,01/19/2012,01/24/2012,5,43891,24,"Everyone is very attentive, providing excellent customer service.",1
241,06/06/2022,Sugarcane juice,Beverages,25,2,50,Cash,Mr.,Afternoon,Chillies,Chilly Chameli,01/13/2012,01/25/2012,12,"1,20,000",23,Horrible - don't waste your time and money.,0
242,12/23/2022,Cold coffee,Beverages,40,4,160,Online,Mrs.,Midnight,Chillies,Munni Mirchi,01/23/2012,01/30/2012,7,38317,24,Now this dish was quite flavourful.,1
243,12/11/2022,Panipuri,Fastfood,20,5,100,Cash,Mrs.,Midnight,Chillies,Mirch Masala,01/26/2012,01/29/2012,3,40218,23,By this time our side of the restaurant was almost empty so there was no excuse.,0
244,11/22/2022,Sandwich,Fastfood,60,10,600,Online,Mrs.,Midnight,Chillies,Chilly Chameli,01/20/2012,01/30/2012,10,"1,11,201",23,"(It wasn't busy either) Also, the building was FREEZING cold.",0
245,03/10/2022,Vadapav,Fastfood,20,2,40,Cash,Mrs.,Morning,Chillies,Munni Mirchi,01/30/2012,02/07/2012,8,26473,24,"like the other reviewer said ""you couldn't pay me to eat at this place again.""",0
246,11/16/2022,Vadapav,Fastfood,20,10,200,Cash,Mr.,Afternoon,Chillies,Mirch Masala,02/02/2012,02/05/2012,3,92269,24,-Drinks took close to 30 minutes to come out at one point.,0
247,03/10/2022,Sugarcane juice,Beverages,25,6,150,Cash,Mr.,Midnight,Chillies,Chilly Chameli,01/27/2012,02/06/2012,10,66467,24,"Seriously flavorful delights, folks.",1
248,04/17/2022,Frankie,Fastfood,50,5,250,Online,Mrs.,Midnight,Chillies,Munni Mirchi,02/06/2012,02/12/2012,6,24990,23,Much better than the other AYCE sushi place I went to in Vegas.,1
249,10/26/2022,Sugarcane juice,Beverages,25,3,75,Online,Mrs.,Afternoon,Chillies,Mirch Masala,02/09/2012,02/12/2012,3,78153,25,The lighting is just dark enough to set the mood.,1
250,11/15/2022,Sugarcane juice,Beverages,25,6,150,Online,Mrs.,Midnight,Chillies,Chilly Chameli,02/03/2012,02/12/2012,9,"1,06,095",23,Based on the sub-par service I received and no effort to show their gratitude for my business I won't be going back.,0
251,12/21/2022,Cold coffee,Beverages,40,13,520,Cash,Mrs.,Afternoon,Chillies,Munni Mirchi,02/13/2012,02/19/2012,6,67091,24,Owner's are really great people.!,1
252,03/26/2023,Vadapav,Fastfood,20,8,160,Online,Mr.,Midnight,Chillies,Mirch Masala,02/16/2012,02/20/2012,4,52564,23,There is nothing privileged about working/eating there.,0
253,06/18/2022,Sugarcane juice,Beverages,25,13,325,Online,Mr.,Afternoon,Chillies,Chilly Chameli,02/10/2012,02/21/2012,11,72814,27,The Greek dressing was very creamy and flavorful.,1
254,09/10/2022,Cold coffee,Beverages,40,12,480,Cash,Mrs.,Afternoon,Chillies,Munni Mirchi,02/20/2012,02/27/2012,7,41410,23,"Overall, I don't think that I would take my parents to this place again because they made most of the similar complaints that I silently felt too.",0
255,04/30/2022,Vadapav,Fastfood,20,7,140,Cash,Mrs.,Afternoon,Chillies,Mirch Masala,02/23/2012,02/26/2012,3,"1,13,895",25,Now the pizza itself was good the peanut sauce was very tasty.,1
256,03/16/2023,Aalopuri,Fastfood,20,3,60,Online,Mrs.,Midnight,Chillies,Chilly Chameli,02/17/2012,02/26/2012,9,80695,24,We had 7 at our table and the service was pretty fast.,1
257,03/01/2023,Sandwich,Fastfood,60,10,600,Cash,Mrs.,Midnight,Chillies,Munni Mirchi,02/27/2012,03/03/2012,5,49277,24,Fantastic service here.,1
258,06/09/2022,Vadapav,Fastfood,20,14,280,Cash,Mr.,Midnight,Chillies,Mirch Masala,03/01/2012,03/04/2012,3,39483,26,I as well would've given godfathers zero stars if possible.,0
259,11/18/2022,Sandwich,Fastfood,60,4,240,Online,Mr.,Morning,Chillies,Chilly Chameli,02/24/2012,03/06/2012,11,"1,20,000",25,They know how to make them here.,1
260,10/09/2022,Sugarcane juice,Beverages,25,2,50,Online,Mrs.,Night,Chillies,Munni Mirchi,03/05/2012,03/13/2012,8,39262,27,very tough and very short on flavor!,0
261,11/01/2023,Frankie,Fastfood,50,9,450,Cash,Mrs.,Midnight,Chillies,Mirch Masala,03/08/2012,03/13/2012,5,76808,27,I hope this place sticks around.,1
262,05/03/2023,Vadapav,Fastfood,20,5,100,Cash,Mrs.,Evening,Chillies,Chilly Chameli,03/02/2012,03/12/2012,10,"1,09,105",23,"I have been in more than a few bars in Vegas, and do not ever recall being charged for tap water.",0
263,06/19/2022,Panipuri,Fastfood,20,2,40,Cash,Mr.,Evening,Chillies,Munni Mirchi,03/12/2012,03/17/2012,5,50077,25,The restaurant atmosphere was exquisite.,1
264,07/18/2022,Sugarcane juice,Beverages,25,12,300,Online,Mr.,Morning,Chillies,Mirch Masala,03/15/2012,03/18/2012,3,73058,27,"Good service, very clean, and inexpensive, to boot!",1
265,08/15/2022,Vadapav,Fastfood,20,6,120,Cash,Mr.,Midnight,Chillies,Chilly Chameli,03/09/2012,03/21/2012,12,"1,02,416",27,The seafood was fresh and generous in portion.,1
266,02/10/2022,Frankie,Fastfood,50,10,500,Online,Mrs.,Night,Chillies,Munni Mirchi,03/19/2012,03/25/2012,6,95577,27,"Plus, it's only 8 bucks.",1
267,05/03/2023,Vadapav,Fastfood,20,1,20,Cash,Mr.,Morning,Chillies,Mirch Masala,03/22/2012,03/26/2012,4,"1,09,930",24,"The service was not up to par, either.",0
268,05/02/2023,Cold coffee,Beverages,40,12,480,Cash,Mrs.,Midnight,Chillies,Chilly Chameli,03/16/2012,03/25/2012,9,23744,24,"Thus far, have only visited twice and the food was absolutely delicious each time.",1
269,12/22/2022,Panipuri,Fastfood,20,2,40,Cash,Mrs.,Midnight,Chillies,Munni Mirchi,03/26/2012,03/31/2012,5,49381,27,Just as good as when I had it more than a year ago!,1
270,07/09/2022,Sandwich,Fastfood,60,13,780,Cash,Mr.,Evening,Chillies,Mirch Masala,03/29/2012,04/01/2012,3,73995,25,"For a self proclaimed coffee cafe, I was wildly disappointed.",0
271,03/05/2022,Vadapav,Fastfood,20,13,260,Cash,Mr.,Evening,Chillies,Chilly Chameli,03/23/2012,04/04/2012,12,"1,00,834",23,The Veggitarian platter is out of this world!,1
272,07/29/2022,Frankie,Fastfood,50,5,250,Online,Mrs.,Night,Chillies,Munni Mirchi,04/02/2012,04/08/2012,6,74527,25,You cant go wrong with any of the food here.,1
273,08/15/2022,Panipuri,Fastfood,20,15,300,Cash,Mr.,Midnight,Chillies,Mirch Masala,04/05/2012,04/08/2012,3,39861,24,You can't beat that.,1
274,04/01/2023,Sugarcane juice,Beverages,25,10,250,Online,Mr.,Night,Chillies,Chilly Chameli,03/30/2012,04/08/2012,9,81637,27,"Stopped by this place while in Madison for the Ironman, very friendly, kind staff.",1
